Area,soil group,Land class,knit (surface),pH,SOC (%),Nitrogen N (%),Potassium K (meq/100),Phosphorus P (ug/g),Sulfur S (ug/g),Boron B (ug/g),Zinc Zn (ug/g)
Mithpukur,belab,high ground,Clay loam ,5.0,1.27,0.08,0.15,19.6, 37.7,0.26,0.86
Mithpukur,belab,high ground,Clay loam ,4.9,1.47,0.09,0.25,4.1,32.0,0.25,0.75
Mithpukur,belab,high ground,Clay loam ,4.6,1.07,0.05,0.09,13.3,13.5,0.27,0.95
Mithpukur,belab,high ground,Clay loam ,5.2,1.51,0.06,0.30,20.2,30.0,0.28,1.0
Mithpukur,belab,high ground,Clay loam ,5.3,1.08,0.11,0.17,20.5,27.8,0.30,1.04
Mithpukur,belab,high ground,Clay loam ,4.9,1.87,0.08,0.35,21.7,27.8,0.32,1.16
Mithpukur,belab,high ground,Clay loam ,4.8,1.11,0.06,0.29,7.7,39.7,0.20,0.88
Mithpukur,belab,high ground,Clay loam ,5.2,1.51,0.08,0.50,18.5,25.6,0.26,1.05
Mithpukur,Noadda,high ground,Clay loam ,5.3,1.59,0.08,0.17,12.0,26.4,0.24,0.74
Mithpukur,Noadda,high ground,Clay loam ,5.0,1.121,0.06,0.18,0.06,10.7,0.20,0.91
Mithpukur,Noadda,high ground,Clay loam ,5.0,1.68,0.09,0.17,9.6,39.1,0.24,0.91
Mithpukur,Noadda,Medium high land,Clay loam ,5.1,1.68,0.08,0.08,5.8,36.2,1.0,0.78
Mithpukur,belab,high ground,Clay loam ,5.5,1.66,0.12,0.45,9.9,33.6,0.24,0.78
Mithpukur,belab,high ground,loam,5.3,1.06,0.06,0.10,32.0,23.3,0.24,1.15
Mithpukur,belab,high ground,Clay loam ,4.5,1.22,0.06,0.18,18.3,47.5,0.28,1.09
Mithpukur,belab,high ground,Clay loam ,4.8,1.51,0.08,0.24,16.3,41.3,0.32,0.93
Mithpukur,belab,high ground,Clay loam ,5.2,1.38,0.07,0.16,22.5,43.0,0.26,1.13
Mithpukur,belab,high ground,Clay loam ,4.8,1.57,0.08,0.19,11.2,22.9,0.34,0.98
Mithpukur,belab,high ground,Clay loam ,4.7,1.59,0.08,0.14,7.1,22.4,0.22,1.02
Mithpukur,belab,high ground,Clay loam ,5.1,1.44,0.05,0.17,16.0,33.7,0.32,1.14
Mithpukur,belab,high ground,Clay loam ,5.2,1.49,0.09,0.11,11.2,29.3,0.22,0.82
Mithpukur,belab,high ground,Clay loam ,5.2,1.30,0.07,0.42,14.5,37.5,0.44,2.06
Mithpukur,belab,high ground,Clay loam ,5.0,1.30,0.07,0.13,39.9,14.5,0.40,1.69
Mithpukur,Noadda,high ground,Clay loam ,4.5,1.848,0.09,0.37,20.2,6.7,0.24,0.79
Mithpukur,Noadda,high ground,Clay loam ,4.7,1.68,0.10,0.28,14.8,1.4,0.20,0.91
Mithpukur,Noadda,high ground,Clay loam ,5.1,1.94,0.08,0.17,15.0,20.5,0.26,0.82
Mithpukur,Noadda,high ground,Clay loam ,5.0,2.01,0.12,0.13,38.0,5.1,0.32,1.29
Mithpukur,Noadda,high ground,Clay loam ,5.5,1.85,0.11,0.12,9.3,6.2,0.20,0.58
Mithpukur,Noadda,high ground,Clay loam ,5.0,1.40,0.06,0.32,31.4,5.1,0.28,2.47
Mithpukur,Noadda,Medium high land,Clay loam ,5.3,1.35,0.07,0.13,23.9,2.1,0.24,1.33
Mithpukur,Sahapur,Medium high land,loam,5.0,1.51,0.09,0.24,19.1,2.8,0.26,0.66
Mithpukur,Sahapur,Medium high land,loam,4.8,2.33,0.14,0.10,8.7,5.5,0.06,0.59
Mithpukur,Noadda,Medium high land,Clay loam ,5.0,2.5,0.13,0.06,6.8,1.9,0.56,0.74
Mithpukur,the moon,Medium high land,Clay loam ,5.2,1.81,0.09,0.06,11.5,1.8,0.30,0.57
Mithpukur,the moon,Medium high land,Clay loam ,5.0,1.73,0.12,0.06,2.3,2.9,0.30,0.42
Mithpukur,the moon,Medium high land,Clay loam ,5.3,1.66,0.09,0.12,8.1,1.6,0.22,0.48
Mithpukur,the moon,Medium high land,Clay loam ,5.1,1.93,0.11,0.26,6.0,1.7,0.26,1.85
Mithpukur,the moon,Medium high land,Clay loam ,5.1,1.95,0.11,0.11,2.4,1.60,0.20,0.59
Mithpukur,the moon,Medium high land,Clay loam ,5.3,1.61,0.09,0.10,3.7,2.4,0.42,0.60
Mithpukur,the moon,Medium high land,Clay loam ,5.5,01.37,0.08,0.05,7.7,1.8,0.14,0.52
Mithpukur,the moon,Medium high land,Clay loam ,5.0,1.79,0.11,0.05,13.6,10.5,0.34,0.44
Mithpukur,the moon,Medium high land,Clay loam ,5.2,1.72,0.09,0.11,5.7,13.0,0.36,0.57
Mithpukur,the moon,Medium high land,Clay loam ,5.2,2.15,0.12,0.08,6.3,10.8,0.30,0.52
Mithpukur,the moon,Medium high land,Clay loam ,5.1,2.55,0.14,0.10,2.8,19.2,0.34,0.50
Mithpukur,the moon,Medium high land,Clay loam ,4.8,1.91,0.11,0.11,18.3,16.1,0.44,0.93
Mithpukur,the moon,Medium high land,Clay loam ,5.2,1.45,0.08,0.06,10.4,8.8,0.40,0.43
Mithpukur,the moon,Medium high land,Clay loam ,4.8,1.55,0.09,0.05,16.1,6.6,0.38,0.51
Mithpukur,the moon,Medium high land,Clay loam ,5.1,1.82,0.11,0.07,14.0,4.3,0.41,0.95
Mithpukur,the moon,Medium high land,Clay loam ,5.1,1.73,0.11,0.05,39.2,2.0,0.41,0.83
Mithpukur,the moon,Medium high land,Clay loam ,5.1,2.07,0.12,0.05,10.7,1.6,0.38,0.65
Mithpukur,Sahapur,Medium high land,loam,5.9,2.29,0.11,0.07,9.6,1.0,0.30,0.88
Mithpukur,Sahapur,Medium high land,loam,4.6,1.91,0.13,0.11,10.2,1.6,0.40,0.78
Mithpukur,Sahapur,Medium high land,loam,5.2,1.51,0.08,0.08,5.0,1.8,0.28,0.68
Mithpukur,Sahapur,Medium high land,loam,4.9,2.09,0.12,0.05,10.3,3.7,0.46,0.72
Mithpukur,Sahapur,Medium high land,loam,4.9,1.99,0.10,0.06,3.8,1.9,0.44,0.52
Mithpukur,Sahapur,Medium high land,loam,5.0,1.71,0.10,0.07,7.5,2.0,0.46,0.69
Mithpukur,Sahapur,Medium high land,loam,5.3,2.09,0.12,0.07,4.6,1.7,0.36,0.37
Mithpukur,Sahapur,Medium high land,loam,5.0,1.70,0.09,0.06,7.0,1.8,0.36,0.75
Mithpukur,Sahapur,Medium high land,loam,4.9,1.87,0.11,0.06,8.4,10.0,0.40,0.67
Mithpukur,Sahapur,Medium high land,loam,4.9,2.14,0.13,0.05,10.9,9.5,0.42,1.10
Mithpukur,Sahapur,Medium high land,loam,5.3,1.88,0.11,0.06,12.2,16.7,0.44,0.83
Mithpukur,Sahapur,Medium high land,loam,4.9,1.87,0.12,0.05,8.8,14.3,0.40,0.35
Mithpukur,Sahapur,Medium high land,loam,4.7,2.29,0.13,0.08,3.0,22.0,0.50,1.04
Mithpukur,Sahapur,Medium high land,loam,5.1,1.80,0.10,0.10,3.3,16.3,0.28,0.62
Mithpukur,the pen ,Medium high land,Clay loam ,5.0,2.38,0.15,0.07,14.6,11.9,0.48,0.96
