Area,Data Collection Year,soil group,Land class,knit (surface),pH,SOC (%),Nitrogen N (%),Potassium K (meq/100),Phosphorus P (ug/g),Sulfur S (ug/g),Boron B (ug/g),Zinc Zn (ug/g)
1.0,2016.0,0.0,1.0,4.0,5.25,1.72,0.09,0.2,21.2,9.395,0.345,1.01
1.0,2016.0,0.0,1.0,4.0,5.7,1.03,0.05,0.28,10.6,11.05,0.17,0.5
1.0,2016.0,0.0,1.0,4.0,5.5,2.06,0.1,0.25,11.61,10.67,0.45,0.942
1.0,2016.0,0.0,1.0,4.0,5.4,2.68,0.13,0.31,6.08,10.17,0.338,0.6
1.0,2016.0,0.0,1.0,4.0,5.9,1.16,0.06,0.291,14.48,19.14,0.345,0.48
1.0,2016.0,0.0,1.0,4.0,5.9,1.38,0.07,0.37,10.6,5.81,0.345,1.0
1.0,2016.0,0.0,1.0,4.0,5.6,1.65,0.08,0.4,25.24,9.395,0.345,1.05
1.0,2016.0,0.0,1.0,4.0,5.8,0.78,0.04,0.41,14.54,27.95,0.345,0.57
1.0,2016.0,0.0,1.0,3.0,5.25,1.24,0.06,0.25,9.44,9.337,0.345,0.7
1.0,2016.0,0.0,1.0,4.0,5.1,1.03,0.05,0.19,37.22,2.17,0.338,0.79
1.0,2016.0,0.0,1.0,4.0,5.25,0.78,0.04,0.27,22.77,15.45,0.3,0.945
1.0,2016.0,0.0,1.0,4.0,5.8,2.2,0.11,0.27,21.76,11.59,0.345,0.33
1.0,2016.0,0.0,4.0,4.0,5.7,0.78,0.04,0.33,40.45,2.99,0.13,0.88
1.0,2016.0,0.0,4.0,4.0,5.8,0.78,0.04,0.3,62.85,3.88,0.26,0.97
1.0,2016.0,2.0,1.0,4.0,5.25,1.99,0.1,0.29,10.6,20.23,0.12,1.44
1.0,2016.0,2.0,1.0,4.0,5.1,1.92,0.1,0.11,9.13,9.17,0.38,1.11
1.0,2016.0,2.0,4.0,4.0,4.7,0.96,0.05,0.12,60.21,8.21,0.19,0.91
1.0,2016.0,2.0,4.0,4.0,5.1,1.72,0.09,0.3,60.21,18.72,0.19,1.27
1.0,2016.0,2.0,4.0,4.0,5.1,1.72,0.09,0.51,60.21,24.01,0.19,1.27
1.0,2016.0,2.0,4.0,4.0,5.8,1.92,0.1,0.16,7.63,12.74,0.16,0.76
1.0,2016.0,2.0,4.0,4.0,5.3,1.72,0.09,0.12,13.36,13.43,0.1,1.255
1.0,2016.0,2.0,4.0,4.0,5.3,1.92,0.1,0.15,19.42,12.59,0.16,1.27
1.0,2016.0,2.0,4.0,4.0,5.5,1.51,0.08,0.1,60.21,14.57,0.11,1.24
1.0,2016.0,2.0,4.0,4.0,5.1,0.76,0.04,0.13,62.85,16.21,0.11,1.62
1.0,2016.0,4.0,4.0,4.0,4.9,1.86,0.09,0.22,16.46,13.77,0.39,0.75
1.0,2016.0,5.0,1.0,4.0,5.6,1.24,0.06,0.13,22.33,6.01,0.12,0.945
1.0,2016.0,5.0,1.0,4.0,5.6,2.23,0.11,0.15,10.6,20.01,0.16,1.56
